symbol,date,close
BHARTIARTL.NS,2018-02-01,6.29
BHARTIARTL.NS,2018-03-01,6.03
BHARTIARTL.NS,2018-04-02,5.57
BHARTIARTL.NS,2018-05-02,5.63
BHARTIARTL.NS,2018-06-01,5.25
BHARTIARTL.NS,2018-07-02,4.91
BHARTIARTL.NS,2018-08-01,5.16
BHARTIARTL.NS,2018-09-03,4.95
BHARTIARTL.NS,2018-10-01,4.11
BHARTIARTL.NS,2018-11-01,3.67
BHARTIARTL.NS,2018-12-03,4.17
BHARTIARTL.NS,2019-01-01,4.21
BHARTIARTL.NS,2019-02-01,4.02
BHARTIARTL.NS,2019-03-01,3.98
BHARTIARTL.NS,2019-04-01,4.51
INFRATEL.NS,2016-04-01,5.81
INFRATEL.NS,2016-05-02,5.66
INFRATEL.NS,2016-06-01,5.71
INFRATEL.NS,2016-07-01,5.2
INFRATEL.NS,2016-08-01,5.94
INFRATEL.NS,2016-09-01,5.13
INFRATEL.NS,2016-10-03,5.45
INFRATEL.NS,2016-11-01,5.33
INFRATEL.NS,2016-12-01,5.66
INFRATEL.NS,2017-01-02,5.05
INFRATEL.NS,2017-02-01,4.37
INFRATEL.NS,2017-03-01,4.32
INFRATEL.NS,2017-04-03,5.07
INFRATEL.NS,2017-05-02,5.51
INFRATEL.NS,2017-06-01,5.84
INFRATEL.NS,2017-07-03,6.13
INFRATEL.NS,2017-08-01,6.3
INFRATEL.NS,2017-09-01,5.93
INFRATEL.NS,2017-10-03,6.24
INFRATEL.NS,2017-11-01,6.6
INFRATEL.NS,2017-12-01,5.98
INFRATEL.NS,2018-01-01,5.79
INFRATEL.NS,2018-02-01,5.42
INFRATEL.NS,2018-03-01,5.3
INFRATEL.NS,2018-04-02,5.18
INFRATEL.NS,2018-05-02,4.71
INFRATEL.NS,2018-06-01,4.48
INFRATEL.NS,2018-07-02,4.34
INFRATEL.NS,2018-08-01,4.29
INFRATEL.NS,2018-09-03,4.07
INFRATEL.NS,2018-10-01,3.67
INFRATEL.NS,2018-11-01,3.56
INFRATEL.NS,2018-12-03,3.64
INFRATEL.NS,2019-01-01,3.77
INFRATEL.NS,2019-02-01,4.16
INFRATEL.NS,2019-03-01,4.14
INFRATEL.NS,2019-04-01,4.53
BPCL.NS,2016-04-01,4.46
BPCL.NS,2016-05-02,4.87
BPCL.NS,2016-06-01,4.88
BPCL.NS,2016-07-01,5.41
BPCL.NS,2016-08-01,5.94
BPCL.NS,2016-09-01,5.84
BPCL.NS,2016-10-03,6.29
BPCL.NS,2016-11-01,6.76
BPCL.NS,2016-12-01,6.13
BPCL.NS,2017-01-02,6.27
BPCL.NS,2017-02-01,6.85
BPCL.NS,2017-03-01,6.58
BPCL.NS,2017-04-03,6.55
BPCL.NS,2017-05-02,7.68
BPCL.NS,2017-06-01,7.64
BPCL.NS,2017-07-03,6.67
BPCL.NS,2017-08-01,7.58
BPCL.NS,2017-09-01,8.39
BPCL.NS,2017-10-03,7.31
BPCL.NS,2017-11-01,8.36
BPCL.NS,2017-12-01,7.7
BPCL.NS,2018-01-01,7.96
BPCL.NS,2018-02-01,7.66
BPCL.NS,2018-03-01,6.78
BPCL.NS,2018-04-02,6.5
BPCL.NS,2018-05-02,5.71
BPCL.NS,2018-06-01,6.1
BPCL.NS,2018-07-02,5.37
BPCL.NS,2018-08-01,5.79
BPCL.NS,2018-09-03,5.06
BPCL.NS,2018-10-01,5.05
BPCL.NS,2018-11-01,3.86
BPCL.NS,2018-12-03,4.6
BPCL.NS,2019-01-01,5.27
BPCL.NS,2019-02-01,4.78
BPCL.NS,2019-03-01,4.88
BPCL.NS,2019-04-01,5.65
CIPLA.NS,2016-04-01,7.75
CIPLA.NS,2016-05-02,8.14
CIPLA.NS,2016-06-01,6.89
CIPLA.NS,2016-07-01,7.55
CIPLA.NS,2016-08-01,7.86
CIPLA.NS,2016-09-01,8.65
CIPLA.NS,2016-10-03,8.85
CIPLA.NS,2016-11-01,8.57
CIPLA.NS,2016-12-01,8.31
CIPLA.NS,2017-01-02,8.31
CIPLA.NS,2017-02-01,8.49
CIPLA.NS,2017-03-01,8.77
CIPLA.NS,2017-04-03,9.12
CIPLA.NS,2017-05-02,8.65
CIPLA.NS,2017-06-01,8.0
CIPLA.NS,2017-07-03,8.51
CIPLA.NS,2017-08-01,8.77
CIPLA.NS,2017-09-01,8.88
CIPLA.NS,2017-10-03,8.84
CIPLA.NS,2017-11-01,9.7
CIPLA.NS,2017-12-01,9.27
CIPLA.NS,2018-01-01,9.57
CIPLA.NS,2018-02-01,9.17
CIPLA.NS,2018-03-01,8.93
CIPLA.NS,2018-04-02,8.84
CIPLA.NS,2018-05-02,9.18
CIPLA.NS,2018-06-01,7.82
CIPLA.NS,2018-07-02,8.97
CIPLA.NS,2018-08-01,9.35
CIPLA.NS,2018-09-03,9.11
CIPLA.NS,2018-10-01,8.97
CIPLA.NS,2018-11-01,8.38
CIPLA.NS,2018-12-03,7.61
CIPLA.NS,2019-01-01,7.51
CIPLA.NS,2019-02-01,7.31
CIPLA.NS,2019-03-01,7.78
CIPLA.NS,2019-04-01,7.58
COALINDIA.NS,2016-04-01,4.33
COALINDIA.NS,2016-05-02,4.35
COALINDIA.NS,2016-06-01,4.41
COALINDIA.NS,2016-07-01,4.61
COALINDIA.NS,2016-08-01,4.89
COALINDIA.NS,2016-09-01,5.05
COALINDIA.NS,2016-10-03,4.93
COALINDIA.NS,2016-11-01,4.95
COALINDIA.NS,2016-12-01,4.48
COALINDIA.NS,2017-01-02,4.4
COALINDIA.NS,2017-02-01,4.64
COALINDIA.NS,2017-03-01,4.79
COALINDIA.NS,2017-04-03,4.54
COALINDIA.NS,2017-05-02,4.27
COALINDIA.NS,2017-06-01,4.12
COALINDIA.NS,2017-07-03,3.84
COALINDIA.NS,2017-08-01,3.92
COALINDIA.NS,2017-09-01,3.73
COALINDIA.NS,2017-10-03,4.15
COALINDIA.NS,2017-11-01,4.44
COALINDIA.NS,2017-12-01,4.22
COALINDIA.NS,2018-01-01,4.17
COALINDIA.NS,2018-02-01,4.62
COALINDIA.NS,2018-03-01,4.8
COALINDIA.NS,2018-04-02,4.26
COALINDIA.NS,2018-05-02,4.21
COALINDIA.NS,2018-06-01,4.39
COALINDIA.NS,2018-07-02,3.79
COALINDIA.NS,2018-08-01,3.96
COALINDIA.NS,2018-09-03,4.04
COALINDIA.NS,2018-10-01,3.74
COALINDIA.NS,2018-11-01,3.55
COALINDIA.NS,2018-12-03,3.54
COALINDIA.NS,2019-01-01,3.47
COALINDIA.NS,2019-02-01,3.13
COALINDIA.NS,2019-03-01,3.28
COALINDIA.NS,2019-04-01,3.41
DRREDDY.NS,2016-04-01,44.91
DRREDDY.NS,2016-05-02,45.36
DRREDDY.NS,2016-06-01,47.19
DRREDDY.NS,2016-07-01,51.75
DRREDDY.NS,2016-08-01,44.69
DRREDDY.NS,2016-09-01,46.26
DRREDDY.NS,2016-10-03,47.5
DRREDDY.NS,2016-11-01,49.87
DRREDDY.NS,2016-12-01,47.38
DRREDDY.NS,2017-01-02,45.25
DRREDDY.NS,2017-02-01,44.51
DRREDDY.NS,2017-03-01,43.74
DRREDDY.NS,2017-04-03,42.23
DRREDDY.NS,2017-05-02,40.21
DRREDDY.NS,2017-06-01,39.13
DRREDDY.NS,2017-07-03,41.36
DRREDDY.NS,2017-08-01,37.93
DRREDDY.NS,2017-09-01,34.63
DRREDDY.NS,2017-10-03,35.66
DRREDDY.NS,2017-11-01,36.44
DRREDDY.NS,2017-12-01,34.64
DRREDDY.NS,2018-01-01,37.64
DRREDDY.NS,2018-02-01,33.71
DRREDDY.NS,2018-03-01,34.24
DRREDDY.NS,2018-04-02,32.72
DRREDDY.NS,2018-05-02,31.77
DRREDDY.NS,2018-06-01,28.93
DRREDDY.NS,2018-07-02,32.57
DRREDDY.NS,2018-08-01,31.82
DRREDDY.NS,2018-09-03,36.42
DRREDDY.NS,2018-10-01,34.41
DRREDDY.NS,2018-11-01,33.51
DRREDDY.NS,2018-12-03,37.89
DRREDDY.NS,2019-01-01,37.44
DRREDDY.NS,2019-02-01,39.16
DRREDDY.NS,2019-03-01,37.33
DRREDDY.NS,2019-04-01,40.32
EICHERMOT.NS,2016-04-01,290.18
EICHERMOT.NS,2016-05-02,298.99
EICHERMOT.NS,2016-06-01,277.4
EICHERMOT.NS,2016-07-01,284.5
EICHERMOT.NS,2016-08-01,334.71
EICHERMOT.NS,2016-09-01,340.12
EICHERMOT.NS,2016-10-03,387.67
EICHERMOT.NS,2016-11-01,379.6
EICHERMOT.NS,2016-12-01,324.82
EICHERMOT.NS,2017-01-02,330.56
EICHERMOT.NS,2017-02-01,356.38
EICHERMOT.NS,2017-03-01,354.76
EICHERMOT.NS,2017-04-03,393.07
EICHERMOT.NS,2017-05-02,401.56
EICHERMOT.NS,2017-06-01,446.65
EICHERMOT.NS,2017-07-03,428.12
EICHERMOT.NS,2017-08-01,491.5
EICHERMOT.NS,2017-09-01,496.19
EICHERMOT.NS,2017-10-03,475.5
EICHERMOT.NS,2017-11-01,478.79
EICHERMOT.NS,2017-12-01,453.99
EICHERMOT.NS,2018-01-01,467.99
EICHERMOT.NS,2018-02-01,438.08
EICHERMOT.NS,2018-03-01,425.66
EICHERMOT.NS,2018-04-02,434.08
EICHERMOT.NS,2018-05-02,457.84
EICHERMOT.NS,2018-06-01,445.05
EICHERMOT.NS,2018-07-02,409.73
EICHERMOT.NS,2018-08-01,399.25
EICHERMOT.NS,2018-09-03,405.61
EICHERMOT.NS,2018-10-01,339.44
EICHERMOT.NS,2018-11-01,299.42
EICHERMOT.NS,2018-12-03,334.71
EICHERMOT.NS,2019-01-01,333.1
EICHERMOT.NS,2019-02-01,275.84
EICHERMOT.NS,2019-03-01,281.4
